marker,Identifier,Score,Component,Description
JSolomon,Participant 12896018,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12896022,5,1,Abstract is clear and accurate
JSolomon,Participant 12896022,4,2,Abstract contains correct information
JSolomon,Participant 12896022,4,3,Introduction is clear and accurate
JSolomon,Participant 12896022,4,4,Introduction gives big-picture overview
JSolomon,Participant 12896022,5,5,Introduction outlines specific research area
JSolomon,Participant 12896022,5,6,Introduction gives rationale for current experiment
JSolomon,Participant 12896022,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12896022,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12896022,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12896022,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12896022,5,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12896022,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12896022,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12896022,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12896022,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12896022,5,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12896022,5,18,Discussion correctly interprets findings
JSolomon,Participant 12896022,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12896022,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12896022,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12896022,4,22,Discussion concludes appropriately.
JSolomon,Participant 12896022,5,23,Overall clarity of writing
JSolomon,Participant 12896022,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12896022,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12896022,5,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895997,3,1,Abstract is clear and accurate
SDordoy,Participant 12895997,3,2,Abstract contains correct information
SDordoy,Participant 12895997,4,3,Introduction is clear and accurate
SDordoy,Participant 12895997,3,4,Introduction gives big-picture overview
SDordoy,Participant 12895997,2,5,Introduction outlines specific research area
SDordoy,Participant 12895997,2,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895997,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895997,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895997,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895997,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895997,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895997,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895997,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895997,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895997,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895997,5,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895997,5,18,Discussion correctly interprets findings
SDordoy,Participant 12895997,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895997,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895997,3,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895997,3,22,Discussion concludes appropriately.
SDordoy,Participant 12895997,4,23,Overall clarity of writing
SDordoy,Participant 12895997,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895997,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895997,3,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12896002,3,1,Abstract is clear and accurate
SDordoy,Participant 12896002,3,2,Abstract contains correct information
SDordoy,Participant 12896002,4,3,Introduction is clear and accurate
SDordoy,Participant 12896002,4,4,Introduction gives big-picture overview
SDordoy,Participant 12896002,3,5,Introduction outlines specific research area
SDordoy,Participant 12896002,2,6,Introduction gives rationale for current experiment
SDordoy,Participant 12896002,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12896002,4,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12896002,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12896002,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12896002,5,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12896002,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12896002,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12896002,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12896002,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12896002,2,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12896002,2,18,Discussion correctly interprets findings
SDordoy,Participant 12896002,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12896002,3,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12896002,2,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12896002,3,22,Discussion concludes appropriately.
SDordoy,Participant 12896002,4,23,Overall clarity of writing
SDordoy,Participant 12896002,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12896002,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12896002,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12896013,3,1,Abstract is clear and accurate
SDordoy,Participant 12896013,3,2,Abstract contains correct information
SDordoy,Participant 12896013,4,3,Introduction is clear and accurate
SDordoy,Participant 12896013,3,4,Introduction gives big-picture overview
SDordoy,Participant 12896013,3,5,Introduction outlines specific research area
SDordoy,Participant 12896013,2,6,Introduction gives rationale for current experiment
SDordoy,Participant 12896013,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12896013,3,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12896013,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12896013,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12896013,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12896013,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12896013,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12896013,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12896013,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12896013,4,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12896013,4,18,Discussion correctly interprets findings
SDordoy,Participant 12896013,5,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12896013,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12896013,5,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12896013,4,22,Discussion concludes appropriately.
SDordoy,Participant 12896013,4,23,Overall clarity of writing
SDordoy,Participant 12896013,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12896013,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12896013,5,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12896005,5,1,Abstract is clear and accurate
SDordoy,Participant 12896005,4,2,Abstract contains correct information
SDordoy,Participant 12896005,5,3,Introduction is clear and accurate
SDordoy,Participant 12896005,5,4,Introduction gives big-picture overview
SDordoy,Participant 12896005,5,5,Introduction outlines specific research area
SDordoy,Participant 12896005,4,6,Introduction gives rationale for current experiment
SDordoy,Participant 12896005,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12896005,5,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12896005,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12896005,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12896005,5,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12896005,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12896005,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12896005,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12896005,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12896005,5,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12896005,5,18,Discussion correctly interprets findings
SDordoy,Participant 12896005,5,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12896005,4,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12896005,4,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12896005,5,22,Discussion concludes appropriately.
SDordoy,Participant 12896005,5,23,Overall clarity of writing
SDordoy,Participant 12896005,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12896005,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12896005,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12895998,4,1,Abstract is clear and accurate
SDordoy,Participant 12895998,3,2,Abstract contains correct information
SDordoy,Participant 12895998,5,3,Introduction is clear and accurate
SDordoy,Participant 12895998,5,4,Introduction gives big-picture overview
SDordoy,Participant 12895998,4,5,Introduction outlines specific research area
SDordoy,Participant 12895998,4,6,Introduction gives rationale for current experiment
SDordoy,Participant 12895998,5,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12895998,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12895998,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12895998,4,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12895998,4,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12895998,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12895998,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12895998,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12895998,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12895998,3,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12895998,4,18,Discussion correctly interprets findings
SDordoy,Participant 12895998,5,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12895998,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12895998,4,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12895998,4,22,Discussion concludes appropriately.
SDordoy,Participant 12895998,4,23,Overall clarity of writing
SDordoy,Participant 12895998,4,24,Overall quality of grammar and spelling
SDordoy,Participant 12895998,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12895998,4,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12896006,3,1,Abstract is clear and accurate
SDordoy,Participant 12896006,3,2,Abstract contains correct information
SDordoy,Participant 12896006,3,3,Introduction is clear and accurate
SDordoy,Participant 12896006,2,4,Introduction gives big-picture overview
SDordoy,Participant 12896006,2,5,Introduction outlines specific research area
SDordoy,Participant 12896006,2,6,Introduction gives rationale for current experiment
SDordoy,Participant 12896006,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12896006,2,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12896006,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12896006,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12896006,3,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12896006,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12896006,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12896006,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12896006,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12896006,3,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12896006,4,18,Discussion correctly interprets findings
SDordoy,Participant 12896006,3,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12896006,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12896006,5,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12896006,4,22,Discussion concludes appropriately.
SDordoy,Participant 12896006,4,23,Overall clarity of writing
SDordoy,Participant 12896006,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12896006,4,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12896006,5,26,Correct usage of APA-formatted citations and references
SDordoy,Participant 12896020,4,1,Abstract is clear and accurate
SDordoy,Participant 12896020,4,2,Abstract contains correct information
SDordoy,Participant 12896020,5,3,Introduction is clear and accurate
SDordoy,Participant 12896020,5,4,Introduction gives big-picture overview
SDordoy,Participant 12896020,5,5,Introduction outlines specific research area
SDordoy,Participant 12896020,5,6,Introduction gives rationale for current experiment
SDordoy,Participant 12896020,4,7,"Participant section is clear, accurate, and contain correct information"
SDordoy,Participant 12896020,3,8,Sample sizes are justified through a power calculation
SDordoy,Participant 12896020,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
SDordoy,Participant 12896020,5,10,"Procedure section is clear, accurate, and contain correct information."
SDordoy,Participant 12896020,5,11,"Result section is overall clear, accurate, and contain correct information"
SDordoy,Participant 12896020,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
SDordoy,Participant 12896020,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
SDordoy,Participant 12896020,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
SDordoy,Participant 12896020,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
SDordoy,Participant 12896020,4,17,Discussion correctly and clearly summarises findings
SDordoy,Participant 12896020,4,18,Discussion correctly interprets findings
SDordoy,Participant 12896020,5,19,Discussion makes appropriate links to previous literature
SDordoy,Participant 12896020,5,20,Discussion provides good considerations of the limitations of the current study
SDordoy,Participant 12896020,5,21,"Discussion makes a good, sensible suggestion for future work"
SDordoy,Participant 12896020,4,22,Discussion concludes appropriately.
SDordoy,Participant 12896020,5,23,Overall clarity of writing
SDordoy,Participant 12896020,5,24,Overall quality of grammar and spelling
SDordoy,Participant 12896020,5,25,Correct formatting of sections and sub-sections
SDordoy,Participant 12896020,5,26,Correct usage of APA-formatted citations and references
